Date,M&M,Tata Motors,Axis Bank,SBI,HDFC,IndusInd,Kotak Mahindra,ICICI,HCL,Tech Mahindra,Wipro,Grasim Industries,Cipla,Sun Pharma,Bharti Airtel,ITC
2007-01,-0.099602657,-0.108960331,-0.138234187,-0.086458676,-0.133135554,-0.171831023,-0.089861449,-0.118585239,-0.07346186,-0.176491769,-0.082917226,-0.204987082,-0.058262305,-0.098248585,0.01360525,-0.01661
2007-02,-0.038143927,-0.069513922,0.064467149,-0.045496086,0.020481294,-0.047619004,0.128265477,0.028756556,-0.030056919,-0.005851636,-0.005334305,-0.054015022,0.020909705,0.13682307,0.062595623,-0.119685535
2007-03,-0.003459779,0.03234083,-0.045269198,0.108054736,0.073363726,0.023809524,0.133708822,0.014643441,0.147048762,0.113727175,0.021809105,0.169477998,-0.109163875,0.045081352,0.062116115,0.058882545
2007-04,-0.026035725,0.005254849,0.228000846,0.228466699,0.120538992,0.058139535,0.052989858,0.061558652,0.029917726,-0.060714734,-0.048814244,0.021531017,0.030812989,0.090669915,0.046713651,0.023430179
2007-05,0.909427917,-0.113137463,4.265675368,0.127168845,0.998518665,0.197802198,0.176040514,0.143443558,-0.000871425,-0.065542248,1.542834291,5.805425524,-0.042768467,-0.08380235,-0.015661118,-0.05555491
2007-06,-0.496093505,0.043564256,-0.793261767,0.06426695,-0.476520624,-0.061467853,0.100515926,-0.117551926,-0.088675677,-0.049747267,-0.640261046,-0.826215475,-0.082152253,-0.09151635,0.077933474,0.105364508
2007-07,-0.028402871,0.003365049,0.014539064,-0.014476503,-0.024071298,0.043010673,-0.045702697,-0.0421048,-0.027596183,-0.024932637,-0.03015978,-0.003414121,-0.127453576,-0.002415059,0.063127718,-0.001170175
2007-08,0.061996929,0.107088948,0.204094472,0.215893127,0.225228305,0.401124701,0.304665191,0.19586205,-0.01394357,0.032105834,-0.045821845,0.19141696,0.093581321,0.0380891,-0.018876767,0.111242471
2007-09,0.003260676,-0.024523441,0.199777684,0.062877567,0.151713557,0.301672281,0.085283031,0.180390765,0.048244886,-0.095156287,0.101906225,0.05630794,-0.019199122,0.093439052,0.070964415,-0.057429895
2007-10,-0.033009463,-0.033513078,0.014498305,0.113237144,0.037952154,0.226618647,0.232454849,-0.060322171,0.022853554,-0.149485755,-0.091693003,0.025373038,0.024049233,0.045168007,-0.066660306,0.052822784
2007-11,0.181487799,0.012902565,0.042765759,0.029861603,0.007545954,0.06828657,0.05115523,0.051167986,0.022963513,0.101490286,0.141105295,-0.036973447,0.161387149,0.091737691,0.060563789,0.112026705
2007-12,-0.228671663,-0.057219895,0.154928171,-0.03123508,-0.092273446,-0.257254925,-0.206694435,-0.074030512,-0.266949802,-0.394772293,-0.195755563,-0.194074876,-0.110039947,-0.058940818,-0.138045548,-0.066365321
2008-01,0.040466379,0.001283222,-0.087660638,-0.025699624,-0.071867726,0.056494257,-0.220202222,-0.051000988,0.148975796,0.009058265,0.033826195,-0.023766729,0.094319715,0.083156763,-0.037959492,0.03681928
2008-02,0.007655859,-0.110872607,-0.22756831,-0.242180289,-0.086150697,-0.213893057,-0.219673304,-0.293154894,-0.087880399,0.021133666,-0.011326437,-0.106217027,0.062288719,0.001915249,0,0.017263171
2008-03,-0.03851666,0.067134233,0.169272684,0.108982988,0.144901356,0.149396055,0.26482177,0.143225762,0.138993137,0.295430823,0.131106457,-0.066187599,-0.031818182,0.177695541,0.087142385,0.066181862
2008-04,-0.119439025,-0.133635402,-0.141086092,-0.185754919,-0.101991265,-0.145464621,-0.124675932,-0.103453437,0.090656942,-0.053795916,0.041939082,-0.076115741,-0.004225324,-0.031150677,0.062074245,-0.009777694
2008-05,-0.172165774,-0.259946305,-0.237251771,-0.230726616,-0.263973101,-0.300323638,-0.334008732,-0.200862048,-0.197234591,-0.172483839,-0.136081024,-0.16734165,-0.004950509,-0.001247615,-0.243979664,-0.137542662
2008-06,0.070011568,-0.052927273,0.080737103,0.274964024,0.090083424,0.04625347,0.149616407,0.01126704,-0.206691725,0.060882254,-0.055801369,-0.02313714,0.037194934,0.007173739,0.107384606,-0.005324233
2008-07,0.106933992,0.091448834,0.10628532,-0.009455008,0.162591592,0.064544687,0.140895866,0.054292199,0.163713415,-0.014958561,0.040924465,0.072434027,0.096619505,0.043444293,0.048577112,0.010170781
2008-08,-0.119505297,-0.193662765,-0.004354368,0.042383533,-0.036813637,-0.078903653,-0.084500269,-0.202934554,-0.16598755,-0.171691938,-0.213922292,-0.129148301,-0.047490143,0.007505339,-0.062865559,-0.003445183
2008-09,-0.264965653,-0.506979461,-0.218396434,-0.241671537,-0.168415051,-0.267808886,-0.391502644,-0.255438156,-0.110825428,-0.467054274,-0.197852987,-0.392227722,-0.225016393,-0.246132122,-0.167036721,-0.174952467
2008-10,-0.250200299,-0.192568707,-0.274358292,-0.019059187,-0.09764326,-0.214285676,-0.005782954,-0.118118607,-0.204742589,-0.316363612,-0.110031267,-0.13608699,0.129514658,-0.032282594,0.026461819,0.118917038
2008-11,-0.022435856,0.167641224,0.235495786,0.183960327,0.081928982,0.177115956,0.066368382,0.274277262,-0.161454516,0.09685278,-0.03811987,0.376495967,-0.067699168,-0.016633508,0.066237784,-0.010945846
2008-12,0.101092896,-0.063808233,-0.140677667,-0.106921217,-0.072870247,-0.111850895,-0.206293706,-0.071077807,0.006938387,-0.038593672,-0.007925317,-0.019716962,0.028670905,0.009679077,-0.113974112,0.048922551
2009-01,0.031265548,-0.002340236,-0.197832562,-0.109209376,-0.03900174,-0.094452689,-0.085638724,-0.213092194,-0.136950939,0.045187055,-0.103866133,0.148270765,-0.002344345,-0.053003862,0.00717421,0.016380959
2009-02,0.230830854,0.20763559,0.192727732,0.040768556,0.094322645,0.062913806,0.087685484,0.016027343,0.018463154,0.066157316,0.18506022,0.152245222,0.149086178,0.092334123,-0.019967377,0.009833341
2009-03,1.534862558,0.352190366,0.34956022,0.209961636,1.270392532,0.269470484,0.373848319,0.445313087,0.274865291,0.229347349,2.580317195,0.13769429,0.099750042,0.140852098,0.204953519,0.020827195
2009-04,-0.312185065,0.381667575,0.39098208,0.44743049,-0.346380104,0.75337416,0.750188164,0.538775577,0.282859199,0.453353862,-0.565822582,0.168416643,-0.079338831,-0.042783934,0.185747326,-0.026761525
2009-05,0.033410015,-0.136856689,0.068425473,-0.066110155,0.033679509,0.203638959,-0.068894147,-0.024254435,0.114140233,0.545662512,-0.01124927,0.099016977,0.137118504,-0.101503605,-0.10279453,0.038659384
2009-06,0.242749334,0.449871206,0.102012594,0.038016353,0.003984878,0.00930236,0.03679643,0.050263049,0.296047352,0.158519333,0.296868393,0.187137301,0.085652187,0.07720873,0.022503291,0.306423249
2009-07,0.005359426,0.161664579,-0.012920433,-0.037948833,-0.018744566,0.179147402,0.093355056,-0.009687541,0.244813278,0.118724062,0.122003204,-0.022430922,-0.015269886,0.013449687,0.035358312,-0.07323518
2009-08,0.022634159,0.207164885,0.088202812,0.259366595,0.122025807,0.129457746,0.088383115,0.208276947,0.13599996,-0.013380486,0.094828705,0.034020122,0.033413283,0.182352686,-0.013779364,0.009092842
2009-09,0.043876829,-0.040427408,-0.078922007,-0.001776801,-0.01805511,0.012543296,-0.085116131,-0.12868903,-0.101379076,-0.001926986,0.006303758,-0.212555713,0.025723516,-0.02060167,-0.300655138,0.093327657
2009-10,0.116487618,0.1690662,0.101388635,0.022135534,0.089806827,0.039299435,0.103691783,0.097432239,0.10073472,-0.006096281,0.038209593,0.090083467,0.114594195,0.053059063,0.114028388,0.009027096
2009-11,0.050031669,0.193616947,-0.010206168,0.013149927,-0.036234927,0.179202586,0.025221767,0.010545608,0.101453513,0.067353581,0.080997099,0.039565296,0.047031212,0.039261691,0.0107462,-0.024504073
2009-12,-0.058565173,-0.122799006,0.03689852,-0.093609478,-0.041827051,0.031021241,-0.034762914,-0.053193659,-0.065984381,-0.018866033,-0.047130712,0.050160923,-0.053275561,-0.023694405,0.05872786,-0.002592069
2010-01,-0.009627021,0.024272956,0.096324437,-0.040017557,0.045216273,0.006761325,-0.044488431,0.050340065,0.058535238,-0.083960901,0.045607028,0.037416298,-0.003310271,0.045246314,-0.199834595,-0.071556282
2010-02,0.074371408,0.065380078,0.038906182,0.05262632,0.134150695,0.142377521,0.005245553,0.092127974,-0.023699308,-0.042373162,0.043466792,0.043909222,0.070219872,0.163863063,0.11884916,0.132614717
2010-03,-0.028077866,0.151642017,0.087096112,0.107063802,0.034626283,0.064961714,-0.012836969,-0.000577462,0.100585996,-0.092486187,-0.050149558,-0.03042877,0.014186458,-0.123214299,0.069772179,0.010645163
2010-04,0.088472842,-0.134767323,-0.029645665,-0.013865354,-0.055987388,0.08252836,0.027080164,-0.087871644,-0.030675633,-0.178248512,-0.002753387,-0.332038015,-0.07037737,0.059158594,-0.213716586,0.065262
2010-05,0.095425114,0.031124976,0.00815513,0.014633251,0.016177251,0.046659835,0.016352369,-0.007601027,-0.047600407,0.154039607,-0.043027529,0.002549465,0.061128527,0.072679761,-0.000381173,0.078569903
2010-06,0.054435364,0.087154618,0.081334539,0.087271921,0.108337721,-0.004872107,0.000383884,0.050129817,0.077028754,-0.046308907,0.072301459,0.003503668,-0.036041394,-0.009243146,0.167428499,0.010803687
2010-07,-0.052607692,0.193773339,-0.009527697,0.105277969,0.003455738,0.085189689,0.074295154,0.080454974,-0.024604854,-0.088477616,-0.029227897,0.102014905,-0.070640481,-0.003505575,0.066983389,0.056841902
2010-08,0.103398734,0.086847166,0.154773987,0.171359874,0.166381607,0.199639076,0.149722174,0.138335022,0.099861532,0.178225422,0.122923053,0.098530917,0.062984356,0.14644801,0.11898551,0.09285904
2010-09,0.061026771,0.055460677,-0.042659169,-0.027727676,-0.084138402,-0.008649823,-0.025299157,0.044970503,-0.040289832,-0.03025534,-0.066083632,0.009099881,0.09492789,0.044320722,-0.110974682,-0.039825975
2010-10,0.043069341,0.065531557,-0.070833747,-0.050276129,0.002412334,0.109066765,0.026817473,-0.017970741,-0.000118801,-0.123343496,-0.000355768,0.015554961,-0.02734105,0.060519839,0.105941377,0.004091674
2010-11,0.016856166,0.059434715,-0.012254476,-0.060256664,0.026669302,-0.094065331,-0.048353299,0.002624536,0.130020324,0.098701763,0.170759371,0.029598043,0.077191963,0.083566138,-0.00374989,0.015994773
2010-12,-0.083333378,-0.123286448,-0.079919961,-0.060279569,-0.127453277,-0.154615862,-0.15077702,-0.107853037,0.07562561,-0.073246005,-0.108191884,-0.026228737,-0.101811777,-0.09093722,-0.110923928,-0.068992443
2011-01,-0.136819204,-0.056054661,-0.019038782,-0.004522317,0.002417867,-0.021214829,0.051395167,-0.049675578,-0.098420421,-0.008762618,0.000225233,-0.011443014,-0.09784736,-0.039355803,0.038559389,0.039363449
2011-02,0.137393384,0.15294142,0.152065902,0.051264937,0.143062493,0.202829173,0.130354326,0.149712784,0.080234693,0.047894752,0.095846647,0.089463609,0.07341899,0.044864227,0.078779001,0.077511623
2011-03,0.080031484,-0.009209817,-0.083520258,0.014211811,-0.02144218,-0.014415849,-0.060609369,-0.001566966,0.090486108,0.015156427,-0.062262891,-0.001812861,-0.03777396,0.052542373,0.063375141,0.056285007
2011-04,-0.111449029,-0.114445625,-0.003186721,-0.180649628,0.045305087,-0.034064632,0.026389225,-0.02543586,-0.012279401,-0.01252919,-0.008663905,-0.061040942,0.053473305,0.025120799,-0.015526398,0.005201407
2011-05,0.044338713,-0.092301681,0.005497092,0.046432682,0.04834236,0.083881264,0.085853422,0.007869359,-0.038943225,0.067052223,-0.06451606,-0.089848462,0.015335072,0.042831671,0.055461371,0.049650964
2011-06,0.026855642,-0.046368089,0.037183498,-0.024889277,-0.032418355,-0.002941132,-0.071555268,-0.052892288,-0.016072755,0.072871332,-0.067764997,0.047785167,-0.073855861,0.040771276,0.107239889,0.026607472
2011-07,0.024141553,-0.217064339,-0.197943914,-0.158222414,-0.030505292,-0.090707983,-0.005280252,-0.157702944,-0.151503668,-0.163865852,-0.138840206,-0.0049853,-0.084474865,-0.051331543,0.007913364,-0.040079203
2011-08,0.090225528,0.051121641,-0.050198107,-0.031791513,-0.009111173,0.063463072,0.038400722,0.002462673,-0.009441982,-0.115055508,0.016552796,0.071736832,0.002315618,-0.059194479,-0.142293293,-0.009997473
2011-09,0.075302859,0.271707436,0.137844716,-0.002485498,0.047792166,0.093231695,0.114640006,0.063682754,0.08457576,0.019764844,0.075704247,0.059206038,0.049937756,0.090702729,0.03650835,0.076515197
2011-10,-0.161957552,-0.129252698,-0.182602307,-0.075460366,-0.096938776,-0.131670783,-0.089188154,-0.23487305,-0.135102548,-0.034418405,0.028914281,-0.056138608,0.110528079,0.041728591,-0.014546539,-0.058409589
2011-11,-0.059845592,0.034147128,-0.147259031,-0.08136399,-0.035367218,-0.092789682,-0.077458802,-0.039016128,0.010812986,0.01477318,0.056995378,0.063023346,-0.024843756,-0.052997157,-0.110335677,0.002989492
2011-12,-0.011733646,0.364013216,0.33034279,0.273339336,0.152864002,0.292450681,0.157473046,0.317676374,0.128104133,0.136482458,0.038124119,0.049703136,0.094873418,0.10218026,0.064630279,0.0131669
2012-01,0.053502506,0.111592652,0.09553048,0.090196938,0.050802621,0.069715678,0.099127106,0.004602931,0.108086825,-0.07898773,0.044577679,0.060900103,-0.095074912,0.003464036,-0.04238522,0.018136784
2012-02,-0.013594371,0.015868685,-0.026788359,-0.067273296,0.005318121,0.030104064,-0.004381605,-0.017762875,-0.003513775,0.200253149,0.017929927,-0.052135881,-0.037387618,0.035519599,-0.035123983,0.092709102
2012-03,0.014067375,0.150046446,-0.034243613,0.019915582,0.043570309,0.028602556,0.06867152,-0.008822675,0.059596706,-0.026361355,-0.079642249,-0.023829527,0.022615516,0.058162932,-0.081088982,0.081974318
2012-04,-0.080909813,-0.263941219,-0.122860098,-0.038375203,-0.06691242,-0.077829831,-0.033115972,-0.112312795,-0.015623474,-0.040190898,0.012219067,-0.100781305,-0.006730788,-0.059940251,-0.025602016,-0.065786093
2012-05,0.083741995,0.040559268,0.046140336,0.050071731,0.11329509,0.115208107,0.051109118,0.148417596,-0.05474877,0.051595458,-0.024630914,0.145228055,0.021458516,0.121439235,0.008261426,0.128842464
2012-06,-0.009049168,-0.066817578,0.027959676,-0.071282999,0.042942086,-0.017928012,-0.095475248,0.068819011,0.088353027,0.006776773,-0.149663587,0.086845148,0.069657302,0.027996207,-0.016391171,-0.002896871
2012-07,0.088892131,0.035582004,-0.050136479,-0.083661635,0.012930627,-0.052670975,0.07158185,-0.061630491,0.049854697,0.119899036,0.066311759,0.041653139,0.111783831,0.022643893,-0.174134934,0.036798331
2012-08,0.133066874,0.141911208,0.145392195,0.219473681,0.05677341,0.122413525,0.130029659,0.173642213,0.060712716,0.217190084,0.050884285,0.108517375,0.009695826,0.040619334,0.071222953,0.017748998
2012-09,0.022840291,-0.047840861,0.041021158,-0.0581764,0.008026683,0.024767853,-0.069364162,-0.008124275,0.052901316,-0.024274465,-0.079779377,-0.000375888,-0.044198942,-0.002012744,0.015824929,0.037263204
2012-10,0.070721903,0.073403005,0.116100146,0.028456369,0.109981076,0.144603112,0.11047621,0.047280629,0.079769737,-0.072066958,0.121488362,0.014307089,0.141343264,0.02261752,0.249766698,0.056448294
2012-11,-0.016209056,0.143353477,0.027767205,0.099156817,-0.036011131,0.000719827,-0.03042736,0.034914687,-0.057578047,0.059252368,0.003180397,-0.056809447,-0.000964655,0.037190991,-0.059051286,-0.039195995
2012-12,-0.045510678,-0.046855766,0.109542594,0.022007965,-0.052387252,0.044958639,0.046611781,0.046473851,0.11200903,0.071551824,0.04321398,-0.051616257,-0.017380838,-0.024787776,0.070955565,0.072698793
2013-01,-0.017486633,-0.035070196,-0.106966123,-0.146472545,-0.027525095,-0.054612181,-0.030499009,-0.126557776,0.051453523,0.052154629,0.011786356,-0.016634316,-0.11595623,0.117200591,-0.049173632,-0.041769872
2013-02,-0.014192542,-0.063986323,-0.032325159,-0.003916584,0,-0.017718417,-0.010006028,0.004609725,0.098977016,0.008037661,0.049830332,-0.048242268,0.055300802,0.020943698,-0.096468605,0.049696477
2013-03,0.072913026,0.114617691,0.147612792,0.092413458,0.091069024,-0.008648381,0.082848355,0.113331177,-0.092578586,-0.100285055,-0.203134264,0.041819376,0.067281074,0.161304077,0.027329556,0.062690251
2013-04,0.047018735,0.044333848,-0.041636041,-0.096078217,0.026674501,0.229312057,0.107269182,-0.007907455,0.032503464,0.014951006,-0.059419236,-0.026237011,-0.085738961,0.097839219,0.007427238,0.033603536
2013-05,0.00315228,-0.10213728,-0.073642924,-0.04541345,-0.044254104,-0.052210056,-0.07759116,-0.072501131,0.041823265,0.095400566,0.065158802,-0.032989615,0.057752057,-0.031175164,-0.033778875,-0.045750237
2013-06,-0.060993152,0.032703914,-0.219325396,-0.125601435,-0.089245706,-0.171141294,-0.096718409,-0.151015543,0.208180376,0.175976591,0.255014327,-0.040979611,0.021303676,0.117690662,0.180801834,0.053493227
2013-07,-0.140607879,0.030120046,-0.194867369,-0.110893189,-0.025830258,-0.079236059,0.011113666,-0.115838363,0.109754414,0.103265624,0.104109626,-0.146100381,0.041593866,-0.078011634,-0.131784429,-0.096575943
2013-08,0.056431551,0.111110744,0.20997666,0.063168641,-0.001599347,0.033637001,0.028047302,0.099414236,0.044934444,-0.028544035,-0.02181422,0.170766538,0.03729461,0.138334563,0.065364979,0.102687054
2013-09,0.072995303,0.146316854,0.213176487,0.112607576,0.147963918,0.208406796,0.109644652,0.268541831,0.007494548,0.161182656,0.00983124,0.063869028,-0.04462425,0.026125064,0.152044872,-0.01586374
